pair_id,csv_file,name0,name1,rot0,rot1,num_matches,num_inliers,num_correct,precision,error_t,error_R,pose_error,estimated
schleich_african_black_rhino_multiview-00-pixel_5_images_000_schleich_african_black_rhino_multiview-00-pixel_5_images_002,schleich_african_black_rhino_multiview-00-pixel_5_images_000_schleich_african_black_rhino_multiview-00-pixel_5_images_002_matches.csv,schleich_african_black_rhino/multiview-00-pixel_5/images/000.jpg,schleich_african_black_rhino/multiview-00-pixel_5/images/002.jpg,0,0,104,47,0,0.0,52.87181870987129,18.57267165120881,52.87181870987129,True
steps_small_showpiece_multiview-01-pixel_4a_images_009_steps_small_showpiece_multiview-01-pixel_4a_images_019,steps_small_showpiece_multiview-01-pixel_4a_images_009_steps_small_showpiece_multiview-01-pixel_4a_images_019_matches.csv,steps_small_showpiece/multiview-01-pixel_4a/images/009.jpg,steps_small_showpiece/multiview-01-pixel_4a/images/019.jpg,0,0,71,20,0,0.0,27.809386624027685,32.58566576449563,32.58566576449563,True
tractor_green_showpiece_multiview-03-pixel_6pro_images_014_tractor_green_showpiece_multiview-03-pixel_6pro_images_016,tractor_green_showpiece_multiview-03-pixel_6pro_images_014_tractor_green_showpiece_multiview-03-pixel_6pro_images_016_matches.csv,tractor_green_showpiece/multiview-03-pixel_6pro/images/014.jpg,tractor_green_showpiece/multiview-03-pixel_6pro/images/016.jpg,0,0,76,21,0,0.0,43.3424968710473,26.114034029989146,43.3424968710473,True
tractor_green_showpiece_multiview-04-pixel_6pro_images_004_tractor_green_showpiece_multiview-04-pixel_6pro_images_015,tractor_green_showpiece_multiview-04-pixel_6pro_images_004_tractor_green_showpiece_multiview-04-pixel_6pro_images_015_matches.csv,tractor_green_showpiece/multiview-04-pixel_6pro/images/004.jpg,tractor_green_showpiece/multiview-04-pixel_6pro/images/015.jpg,0,0,104,24,0,0.0,53.98677972497504,21.690536826781337,53.98677972497504,True
box_multi_door_colored_multiview-03-pixel_6pro_images_003_box_multi_door_colored_multiview-03-pixel_6pro_images_010,box_multi_door_colored_multiview-03-pixel_6pro_images_003_box_multi_door_colored_multiview-03-pixel_6pro_images_010_matches.csv,box_multi_door_colored/multiview-03-pixel_6pro/images/003.jpg,box_multi_door_colored/multiview-03-pixel_6pro/images/010.jpg,0,0,146,12,0,0.0,28.917128989874755,34.22363067427208,34.22363067427208,True
keywest_showpiece_s_multiview-01-pixel_6pro_images_012_keywest_showpiece_s_multiview-01-pixel_6pro_images_016,keywest_showpiece_s_multiview-01-pixel_6pro_images_012_keywest_showpiece_s_multiview-01-pixel_6pro_images_016_matches.csv,keywest_showpiece_s/multiview-01-pixel_6pro/images/012.jpg,keywest_showpiece_s/multiview-01-pixel_6pro/images/016.jpg,0,0,135,39,0,0.0,61.044266013216735,37.39057324473225,61.044266013216735,True
hut_mushrooms_showpiece_multiview-01-pixel_4a_images_005_hut_mushrooms_showpiece_multiview-01-pixel_4a_images_014,hut_mushrooms_showpiece_multiview-01-pixel_4a_images_005_hut_mushrooms_showpiece_multiview-01-pixel_4a_images_014_matches.csv,hut_mushrooms_showpiece/multiview-01-pixel_4a/images/005.jpg,hut_mushrooms_showpiece/multiview-01-pixel_4a/images/014.jpg,0,0,104,21,0,0.0,25.262989079692385,28.82693658030038,28.82693658030038,True
water_gun_toy_white_multiview-02-pixel_6pro_images_003_water_gun_toy_white_multiview-02-pixel_6pro_images_006,water_gun_toy_white_multiview-02-pixel_6pro_images_003_water_gun_toy_white_multiview-02-pixel_6pro_images_006_matches.csv,water_gun_toy_white/multiview-02-pixel_6pro/images/003.jpg,water_gun_toy_white/multiview-02-pixel_6pro/images/006.jpg,0,0,179,54,0,0.0,0.08769815067245715,16.66496902982323,16.66496902982323,True
schleich_bald_eagle_multiview-07-pixel_5_images_006_schleich_bald_eagle_multiview-07-pixel_5_images_032,schleich_bald_eagle_multiview-07-pixel_5_images_006_schleich_bald_eagle_multiview-07-pixel_5_images_032_matches.csv,schleich_bald_eagle/multiview-07-pixel_5/images/006.jpg,schleich_bald_eagle/multiview-07-pixel_5/images/032.jpg,0,0,118,30,2,0.01694915254237288,83.32701050098578,20.155250468664093,83.32701050098578,True
bunny_racer_multiview-13-canon_t4i_images_024_bunny_racer_multiview-13-canon_t4i_images_031,bunny_racer_multiview-13-canon_t4i_images_024_bunny_racer_multiview-13-canon_t4i_images_031_matches.csv,bunny_racer/multiview-13-canon_t4i/images/024.jpg,bunny_racer/multiview-13-canon_t4i/images/031.jpg,0,0,113,31,0,0.0,7.526719324001135,24.258616252261,24.258616252261,True
