pair_id,csv_file,name0,name1,rot0,rot1,num_matches,num_inliers,num_correct,precision,error_t,error_R,pose_error,estimated
scene0707_00_frame-000015.color_scene0707_00_frame-000585.color,scene0707_00_frame-000015.color_scene0707_00_frame-000585.color_matches.csv,scans_test/scene0707_00/sens/frame-000015.color.jpg,scans_test/scene0707_00/sens/frame-000585.color.jpg,0,0,256,5,10,0.0390625,13.494056118905917,48.65093166814364,48.65093166814364,True
scene0707_00_frame-000045.color_scene0707_00_frame-000105.color,scene0707_00_frame-000045.color_scene0707_00_frame-000105.color_matches.csv,scans_test/scene0707_00/sens/frame-000045.color.jpg,scans_test/scene0707_00/sens/frame-000105.color.jpg,0,0,169,5,9,0.05325443786982249,59.19438589146919,37.64465295973179,59.19438589146919,True
scene0707_00_frame-000045.color_scene0707_00_frame-000690.color,scene0707_00_frame-000045.color_scene0707_00_frame-000690.color_matches.csv,scans_test/scene0707_00/sens/frame-000045.color.jpg,scans_test/scene0707_00/sens/frame-000690.color.jpg,0,0,165,6,2,0.012121212121212121,78.34709227625135,108.90295686792301,108.90295686792301,True
scene0707_00_frame-000060.color_scene0707_00_frame-000585.color,scene0707_00_frame-000060.color_scene0707_00_frame-000585.color_matches.csv,scans_test/scene0707_00/sens/frame-000060.color.jpg,scans_test/scene0707_00/sens/frame-000585.color.jpg,0,0,264,10,9,0.03409090909090909,37.70974386861784,153.09255466486073,153.09255466486073,True
scene0707_00_frame-000090.color_scene0707_00_frame-000660.color,scene0707_00_frame-000090.color_scene0707_00_frame-000660.color_matches.csv,scans_test/scene0707_00/sens/frame-000090.color.jpg,scans_test/scene0707_00/sens/frame-000660.color.jpg,0,0,270,5,13,0.04814814814814815,81.26900986444687,175.15924041919268,175.15924041919268,True
scene0707_00_frame-000105.color_scene0707_00_frame-000600.color,scene0707_00_frame-000105.color_scene0707_00_frame-000600.color_matches.csv,scans_test/scene0707_00/sens/frame-000105.color.jpg,scans_test/scene0707_00/sens/frame-000600.color.jpg,0,0,234,12,9,0.038461538461538464,73.7918533984007,66.45618019291172,73.7918533984007,True
scene0707_00_frame-000135.color_scene0707_00_frame-000165.color,scene0707_00_frame-000135.color_scene0707_00_frame-000165.color_matches.csv,scans_test/scene0707_00/sens/frame-000135.color.jpg,scans_test/scene0707_00/sens/frame-000165.color.jpg,0,0,251,8,11,0.043824701195219126,39.47821460588439,23.906475221295953,39.47821460588439,True
scene0707_00_frame-000150.color_scene0707_00_frame-000660.color,scene0707_00_frame-000150.color_scene0707_00_frame-000660.color_matches.csv,scans_test/scene0707_00/sens/frame-000150.color.jpg,scans_test/scene0707_00/sens/frame-000660.color.jpg,0,0,148,9,7,0.0472972972972973,73.19210395621934,88.7300153603792,88.7300153603792,True
scene0707_00_frame-000150.color_scene0707_00_frame-000690.color,scene0707_00_frame-000150.color_scene0707_00_frame-000690.color_matches.csv,scans_test/scene0707_00/sens/frame-000150.color.jpg,scans_test/scene0707_00/sens/frame-000690.color.jpg,0,0,199,8,12,0.06030150753768844,72.63071385983643,171.676291899358,171.676291899358,True
scene0707_00_frame-000165.color_scene0707_00_frame-000660.color,scene0707_00_frame-000165.color_scene0707_00_frame-000660.color_matches.csv,scans_test/scene0707_00/sens/frame-000165.color.jpg,scans_test/scene0707_00/sens/frame-000660.color.jpg,0,0,206,5,11,0.05339805825242718,65.36956842563576,107.56754754079358,107.56754754079358,True
scene0707_00_frame-000375.color_scene0707_00_frame-000450.color,scene0707_00_frame-000375.color_scene0707_00_frame-000450.color_matches.csv,scans_test/scene0707_00/sens/frame-000375.color.jpg,scans_test/scene0707_00/sens/frame-000450.color.jpg,0,0,231,5,8,0.03463203463203463,76.19518034064353,81.83352858040257,81.83352858040257,True
scene0707_00_frame-000510.color_scene0707_00_frame-000540.color,scene0707_00_frame-000510.color_scene0707_00_frame-000540.color_matches.csv,scans_test/scene0707_00/sens/frame-000510.color.jpg,scans_test/scene0707_00/sens/frame-000540.color.jpg,0,0,281,10,12,0.042704626334519574,87.297662440442,30.02971241233268,87.297662440442,True
scene0707_00_frame-000525.color_scene0707_00_frame-000540.color,scene0707_00_frame-000525.color_scene0707_00_frame-000540.color_matches.csv,scans_test/scene0707_00/sens/frame-000525.color.jpg,scans_test/scene0707_00/sens/frame-000540.color.jpg,0,0,226,10,8,0.035398230088495575,18.343147028674224,30.450675916543418,30.450675916543418,True
scene0707_00_frame-000585.color_scene0707_00_frame-000630.color,scene0707_00_frame-000585.color_scene0707_00_frame-000630.color_matches.csv,scans_test/scene0707_00/sens/frame-000585.color.jpg,scans_test/scene0707_00/sens/frame-000630.color.jpg,0,0,222,5,5,0.02252252252252252,22.839824662620202,41.54116205072899,41.54116205072899,True
scene0707_00_frame-000765.color_scene0707_00_frame-000780.color,scene0707_00_frame-000765.color_scene0707_00_frame-000780.color_matches.csv,scans_test/scene0707_00/sens/frame-000765.color.jpg,scans_test/scene0707_00/sens/frame-000780.color.jpg,0,0,245,11,13,0.053061224489795916,45.94659187765973,127.8409939065164,127.8409939065164,True
scene0708_00_frame-000015.color_scene0708_00_frame-000960.color,scene0708_00_frame-000015.color_scene0708_00_frame-000960.color_matches.csv,scans_test/scene0708_00/sens/frame-000015.color.jpg,scans_test/scene0708_00/sens/frame-000960.color.jpg,0,0,283,12,4,0.014134275618374558,87.70283269394226,55.394088884405896,87.70283269394226,True
scene0708_00_frame-000060.color_scene0708_00_frame-001125.color,scene0708_00_frame-000060.color_scene0708_00_frame-001125.color_matches.csv,scans_test/scene0708_00/sens/frame-000060.color.jpg,scans_test/scene0708_00/sens/frame-001125.color.jpg,0,0,254,7,5,0.01968503937007874,10.74980333997978,29.347496784698446,29.347496784698446,True
scene0708_00_frame-000075.color_scene0708_00_frame-001140.color,scene0708_00_frame-000075.color_scene0708_00_frame-001140.color_matches.csv,scans_test/scene0708_00/sens/frame-000075.color.jpg,scans_test/scene0708_00/sens/frame-001140.color.jpg,0,0,227,10,8,0.03524229074889868,44.24847763888086,173.11673486885914,173.11673486885914,True
